Plate, 1
Well, 1
Count, 233
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
2200.886, 0.000 to 4401.773, 0
6602.659, 4401.773 to 8803.546, 22
11004.432, 8803.546 to 13205.318, 16
15406.205, 13205.318 to 17607.091, 24
19807.978, 17607.091 to 22008.864, 31
24209.751, 22008.864 to 26410.637, 19
28611.523, 26410.637 to 30812.410, 31
33013.296, 30812.410 to 35214.183, 14
37415.069, 35214.183 to 39615.955, 17
41816.842, 39615.955 to 44017.728, 14
46218.615, 44017.728 to 48419.501, 6
50620.387, 48419.501 to 52821.274, 8
55022.160, 52821.274 to 57223.047, 7
59423.933, 57223.047 to 61624.820, 3
63825.706, 61624.820 to 66026.592, 3
68227.479, 66026.592 to 70428.365, 4
72629.252, 70428.365 to 74830.138, 1
77031.024, 74830.138 to 79231.911, 2
81432.797, 79231.911 to 83633.684, 3
85834.570, 83633.684 to 88035.457, 1
90236.343, 88035.457 to 92437.229, 2
94638.116, 92437.229 to 96839.002, 1
99039.889, 96839.002 to 101240.775, 0
103441.661, 101240.775 to 105642.548, 3
107843.434, 105642.548 to 110044.321, 0
112245.207, 110044.321 to 114446.093, 0
116646.980, 114446.093 to 118847.866, 0
121048.753, 118847.866 to 123249.639, 0
125450.526, 123249.639 to 127651.412, 0
129852.298, 127651.412 to 132053.185, 0
134254.071, 132053.185 to 136454.958, 0
138655.844, 136454.958 to 140856.730, 0
143057.617, 140856.730 to 145258.503, 0
147459.390, 145258.503 to 149660.276, 0
151861.162, 149660.276 to 154062.049, 0
156262.935, 154062.049 to 158463.822, 0
160664.708, 158463.822 to 162865.595, 0
165066.481, 162865.595 to 167267.367, 0
169468.254, 167267.367 to 171669.140, 0
173870.027, 171669.140 to 176070.913, 0
178271.799, 176070.913 to 180472.686, 0
182673.572, 180472.686 to 184874.459, 0
187075.345, 184874.459 to 189276.232, 0
191477.118, 189276.232 to 193678.004, 0
195878.891, 193678.004 to 198079.777, 0
200280.664, 198079.777 to 202481.550, 0
204682.436, 202481.550 to 206883.323, 0
209084.209, 206883.323 to 211285.096, 0
213485.982, 211285.096 to 215686.868, 0
217887.755, 215686.868 to 220088.641, 1


Plate, 1
Well, 2
Count, 229
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1776.119, 0.000 to 3552.239, 0
5328.358, 3552.239 to 7104.477, 22
8880.596, 7104.477 to 10656.716, 15
12432.835, 10656.716 to 14208.954, 19
15985.074, 14208.954 to 17761.193, 22
19537.312, 17761.193 to 21313.431, 20
23089.551, 21313.431 to 24865.670, 26
26641.789, 24865.670 to 28417.909, 20
30194.028, 28417.909 to 31970.147, 18
33746.266, 31970.147 to 35522.386, 17
37298.505, 35522.386 to 39074.624, 7
40850.744, 39074.624 to 42626.863, 3
44402.982, 42626.863 to 46179.101, 6
47955.221, 46179.101 to 49731.340, 3
51507.459, 49731.340 to 53283.579, 4
55059.698, 53283.579 to 56835.817, 6
58611.936, 56835.817 to 60388.056, 3
62164.175, 60388.056 to 63940.294, 4
65716.414, 63940.294 to 67492.533, 1
69268.652, 67492.533 to 71044.771, 3
72820.891, 71044.771 to 74597.010, 1
76373.129, 74597.010 to 78149.249, 2
79925.368, 78149.249 to 81701.487, 1
83477.606, 81701.487 to 85253.726, 0
87029.845, 85253.726 to 88805.964, 0
90582.084, 88805.964 to 92358.203, 0
94134.322, 92358.203 to 95910.441, 1
97686.561, 95910.441 to 99462.680, 0
101238.799, 99462.680 to 103014.918, 0
104791.038, 103014.918 to 106567.157, 0
108343.276, 106567.157 to 110119.396, 0
111895.515, 110119.396 to 113671.634, 0
115447.753, 113671.634 to 117223.873, 0
118999.992, 117223.873 to 120776.111, 0
122552.231, 120776.111 to 124328.350, 1
126104.469, 124328.350 to 127880.588, 0
129656.708, 127880.588 to 131432.827, 0
133208.946, 131432.827 to 134985.066, 1
136761.185, 134985.066 to 138537.304, 0
140313.423, 138537.304 to 142089.543, 0
143865.662, 142089.543 to 145641.781, 0
147417.901, 145641.781 to 149194.020, 0
150970.139, 149194.020 to 152746.258, 0
154522.378, 152746.258 to 156298.497, 0
158074.616, 156298.497 to 159850.736, 0
161626.855, 159850.736 to 163402.974, 1
165179.093, 163402.974 to 166955.213, 0
168731.332, 166955.213 to 170507.451, 0
172283.571, 170507.451 to 174059.690, 1
175835.809, 174059.690 to 177611.928, 1


Plate, 1
Well, 3
Count, 216
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1147.738, 0.000 to 2295.475, 0
3443.213, 2295.475 to 4590.950, 4
5738.688, 4590.950 to 6886.425, 15
8034.163, 6886.425 to 9181.900, 9
10329.638, 9181.900 to 11477.375, 11
12625.113, 11477.375 to 13772.850, 16
14920.588, 13772.850 to 16068.325, 18
17216.063, 16068.325 to 18363.800, 22
19511.538, 18363.800 to 20659.275, 18
21807.013, 20659.275 to 22954.750, 8
24102.488, 22954.750 to 25250.225, 15
26397.963, 25250.225 to 27545.700, 13
28693.438, 27545.700 to 29841.175, 7
30988.913, 29841.175 to 32136.650, 2
33284.388, 32136.650 to 34432.125, 8
35579.863, 34432.125 to 36727.600, 6
37875.338, 36727.600 to 39023.075, 12
40170.813, 39023.075 to 41318.550, 2
42466.288, 41318.550 to 43614.025, 7
44761.763, 43614.025 to 45909.500, 2
47057.238, 45909.500 to 48204.976, 2
49352.713, 48204.976 to 50500.451, 1
51648.188, 50500.451 to 52795.926, 4
53943.663, 52795.926 to 55091.401, 2
56239.138, 55091.401 to 57386.876, 1
58534.613, 57386.876 to 59682.351, 0
60830.088, 59682.351 to 61977.826, 3
63125.563, 61977.826 to 64273.301, 0
65421.038, 64273.301 to 66568.776, 1
67716.513, 66568.776 to 68864.251, 0
70011.988, 68864.251 to 71159.726, 1
72307.463, 71159.726 to 73455.201, 0
74602.938, 73455.201 to 75750.676, 0
76898.413, 75750.676 to 78046.151, 3
79193.888, 78046.151 to 80341.626, 0
81489.363, 80341.626 to 82637.101, 0
83784.838, 82637.101 to 84932.576, 0
86080.313, 84932.576 to 87228.051, 1
88375.788, 87228.051 to 89523.526, 0
90671.263, 89523.526 to 91819.001, 0
92966.738, 91819.001 to 94114.476, 1
95262.213, 94114.476 to 96409.951, 0
97557.689, 96409.951 to 98705.426, 0
99853.164, 98705.426 to 101000.901, 0
102148.639, 101000.901 to 103296.376, 0
104444.114, 103296.376 to 105591.851, 0
106739.589, 105591.851 to 107887.326, 0
109035.064, 107887.326 to 110182.801, 0
111330.539, 110182.801 to 112478.276, 0
113626.014, 112478.276 to 114773.751, 1


Plate, 1
Well, 4
Count, 151
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Volume (OD*um^2), Range, frequency
1828.959, 0.000 to 3657.917, 0
5486.876, 3657.917 to 7315.834, 22
9144.793, 7315.834 to 10973.752, 12
12802.710, 10973.752 to 14631.669, 9
16460.627, 14631.669 to 18289.586, 14
20118.544, 18289.586 to 21947.503, 16
23776.462, 21947.503 to 25605.420, 15
27434.379, 25605.420 to 29263.337, 14
31092.296, 29263.337 to 32921.255, 9
34750.213, 32921.255 to 36579.172, 9
38408.130, 36579.172 to 40237.089, 5
42066.048, 40237.089 to 43895.006, 4
45723.965, 43895.006 to 47552.923, 3
49381.882, 47552.923 to 51210.841, 3
53039.799, 51210.841 to 54868.758, 1
56697.716, 54868.758 to 58526.675, 1
60355.633, 58526.675 to 62184.592, 1
64013.551, 62184.592 to 65842.509, 3
67671.468, 65842.509 to 69500.426, 1
71329.385, 69500.426 to 73158.344, 4
74987.302, 73158.344 to 76816.261, 0
78645.219, 76816.261 to 80474.178, 1
82303.137, 80474.178 to 84132.095, 1
85961.054, 84132.095 to 87790.012, 0
89618.971, 87790.012 to 91447.930, 1
93276.888, 91447.930 to 95105.847, 0
96934.805, 95105.847 to 98763.764, 0
100592.722, 98763.764 to 102421.681, 0
104250.640, 102421.681 to 106079.598, 0
107908.557, 106079.598 to 109737.515, 0
111566.474, 109737.515 to 113395.433, 0
115224.391, 113395.433 to 117053.350, 0
118882.308, 117053.350 to 120711.267, 1
