Plate, 1
Well, 1
Count, 233
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.008, 0
0.012, 0.008 to 0.016, 0
0.020, 0.016 to 0.024, 0
0.028, 0.024 to 0.032, 0
0.036, 0.032 to 0.040, 0
0.044, 0.040 to 0.048, 0
0.052, 0.048 to 0.056, 0
0.060, 0.056 to 0.064, 0
0.067, 0.064 to 0.071, 0
0.075, 0.071 to 0.079, 0
0.083, 0.079 to 0.087, 0
0.091, 0.087 to 0.095, 0
0.099, 0.095 to 0.103, 0
0.107, 0.103 to 0.111, 0
0.115, 0.111 to 0.119, 1
0.123, 0.119 to 0.127, 5
0.131, 0.127 to 0.135, 13
0.139, 0.135 to 0.143, 19
0.147, 0.143 to 0.151, 21
0.155, 0.151 to 0.159, 19
0.163, 0.159 to 0.167, 13
0.171, 0.167 to 0.175, 16
0.179, 0.175 to 0.183, 23
0.187, 0.183 to 0.191, 15
0.194, 0.191 to 0.198, 12
0.202, 0.198 to 0.206, 11
0.210, 0.206 to 0.214, 7
0.218, 0.214 to 0.222, 7
0.226, 0.222 to 0.230, 10
0.234, 0.230 to 0.238, 5
0.242, 0.238 to 0.246, 4
0.250, 0.246 to 0.254, 4
0.258, 0.254 to 0.262, 4
0.266, 0.262 to 0.270, 3
0.274, 0.270 to 0.278, 4
0.282, 0.278 to 0.286, 0
0.290, 0.286 to 0.294, 0
0.298, 0.294 to 0.302, 4
0.306, 0.302 to 0.310, 1
0.314, 0.310 to 0.318, 4
0.321, 0.318 to 0.325, 1
0.329, 0.325 to 0.333, 2
0.337, 0.333 to 0.341, 1
0.345, 0.341 to 0.349, 1
0.353, 0.349 to 0.357, 1
0.361, 0.357 to 0.365, 0
0.369, 0.365 to 0.373, 1
0.377, 0.373 to 0.381, 0
0.385, 0.381 to 0.389, 0
0.393, 0.389 to 0.397, 1


Plate, 1
Well, 2
Count, 229
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Density (OD), Range, frequency
0.005, 0.000 to 0.010, 0
0.015, 0.010 to 0.019, 0
0.024, 0.019 to 0.029, 0
0.034, 0.029 to 0.039, 0
0.044, 0.039 to 0.049, 0
0.054, 0.049 to 0.058, 0
0.063, 0.058 to 0.068, 0
0.073, 0.068 to 0.078, 0
0.083, 0.078 to 0.088, 0
0.093, 0.088 to 0.097, 0
0.102, 0.097 to 0.107, 5
0.112, 0.107 to 0.117, 11
0.122, 0.117 to 0.127, 19
0.132, 0.127 to 0.136, 24
0.141, 0.136 to 0.146, 29
0.151, 0.146 to 0.156, 17
0.161, 0.156 to 0.166, 29
0.171, 0.166 to 0.175, 12
0.180, 0.175 to 0.185, 9
0.190, 0.185 to 0.195, 15
0.200, 0.195 to 0.205, 9
0.209, 0.205 to 0.214, 8
0.219, 0.214 to 0.224, 8
0.229, 0.224 to 0.234, 5
0.239, 0.234 to 0.244, 3
0.248, 0.244 to 0.253, 6
0.258, 0.253 to 0.263, 1
0.268, 0.263 to 0.273, 4
0.278, 0.273 to 0.283, 0
0.287, 0.283 to 0.292, 3
0.297, 0.292 to 0.302, 4
0.307, 0.302 to 0.312, 2
0.317, 0.312 to 0.322, 2
0.326, 0.322 to 0.331, 1
0.336, 0.331 to 0.341, 1
0.346, 0.341 to 0.351, 0
0.356, 0.351 to 0.361, 1
0.365, 0.361 to 0.370, 0
0.375, 0.370 to 0.380, 0
0.385, 0.380 to 0.390, 0
0.395, 0.390 to 0.399, 0
0.404, 0.399 to 0.409, 0
0.414, 0.409 to 0.419, 0
0.424, 0.419 to 0.429, 0
0.434, 0.429 to 0.438, 0
0.443, 0.438 to 0.448, 0
0.453, 0.448 to 0.458, 0
0.463, 0.458 to 0.468, 0
0.473, 0.468 to 0.477, 0
0.482, 0.477 to 0.487, 1


Plate, 1
Well, 3
Count, 216
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.006, 0
0.009, 0.006 to 0.012, 0
0.015, 0.012 to 0.018, 0
0.021, 0.018 to 0.024, 0
0.027, 0.024 to 0.030, 0
0.033, 0.030 to 0.036, 0
0.039, 0.036 to 0.041, 0
0.044, 0.041 to 0.047, 0
0.050, 0.047 to 0.053, 0
0.056, 0.053 to 0.059, 0
0.062, 0.059 to 0.065, 0
0.068, 0.065 to 0.071, 0
0.074, 0.071 to 0.077, 0
0.080, 0.077 to 0.083, 0
0.086, 0.083 to 0.089, 0
0.092, 0.089 to 0.095, 6
0.098, 0.095 to 0.101, 8
0.104, 0.101 to 0.107, 9
0.110, 0.107 to 0.113, 14
0.116, 0.113 to 0.118, 13
0.121, 0.118 to 0.124, 13
0.127, 0.124 to 0.130, 6
0.133, 0.130 to 0.136, 13
0.139, 0.136 to 0.142, 17
0.145, 0.142 to 0.148, 15
0.151, 0.148 to 0.154, 11
0.157, 0.154 to 0.160, 10
0.163, 0.160 to 0.166, 18
0.169, 0.166 to 0.172, 10
0.175, 0.172 to 0.178, 10
0.181, 0.178 to 0.184, 2
0.187, 0.184 to 0.190, 6
0.193, 0.190 to 0.196, 5
0.198, 0.196 to 0.201, 3
0.204, 0.201 to 0.207, 6
0.210, 0.207 to 0.213, 0
0.216, 0.213 to 0.219, 1
0.222, 0.219 to 0.225, 3
0.228, 0.225 to 0.231, 6
0.234, 0.231 to 0.237, 3
0.240, 0.237 to 0.243, 0
0.246, 0.243 to 0.249, 0
0.252, 0.249 to 0.255, 2
0.258, 0.255 to 0.261, 0
0.264, 0.261 to 0.267, 1
0.270, 0.267 to 0.273, 1
0.275, 0.273 to 0.278, 1
0.281, 0.278 to 0.284, 1
0.287, 0.284 to 0.290, 1
0.293, 0.290 to 0.296, 1


Plate, 1
Well, 4
Count, 151
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Density (OD), Range, frequency
0.003, 0.000 to 0.007, 0
0.010, 0.007 to 0.014, 0
0.017, 0.014 to 0.020, 0
0.024, 0.020 to 0.027, 0
0.031, 0.027 to 0.034, 0
0.038, 0.034 to 0.041, 0
0.044, 0.041 to 0.048, 0
0.051, 0.048 to 0.055, 0
0.058, 0.055 to 0.061, 0
0.065, 0.061 to 0.068, 0
0.072, 0.068 to 0.075, 0
0.079, 0.075 to 0.082, 0
0.085, 0.082 to 0.089, 0
0.092, 0.089 to 0.096, 0
0.099, 0.096 to 0.102, 0
0.106, 0.102 to 0.109, 0
0.113, 0.109 to 0.116, 0
0.119, 0.116 to 0.123, 3
0.126, 0.123 to 0.130, 6
0.133, 0.130 to 0.137, 11
0.140, 0.137 to 0.143, 5
0.147, 0.143 to 0.150, 14
0.154, 0.150 to 0.157, 15
0.160, 0.157 to 0.164, 10
0.167, 0.164 to 0.171, 8
0.174, 0.171 to 0.177, 4
0.181, 0.177 to 0.184, 14
0.188, 0.184 to 0.191, 5
0.195, 0.191 to 0.198, 6
0.201, 0.198 to 0.205, 5
0.208, 0.205 to 0.212, 4
0.215, 0.212 to 0.218, 6
0.222, 0.218 to 0.225, 5
0.229, 0.225 to 0.232, 4
0.236, 0.232 to 0.239, 6
0.242, 0.239 to 0.246, 0
0.249, 0.246 to 0.253, 2
0.256, 0.253 to 0.259, 2
0.263, 0.259 to 0.266, 5
0.270, 0.266 to 0.273, 1
0.276, 0.273 to 0.280, 3
0.283, 0.280 to 0.287, 3
0.290, 0.287 to 0.294, 0
0.297, 0.294 to 0.300, 0
0.304, 0.300 to 0.307, 1
0.311, 0.307 to 0.314, 2
0.317, 0.314 to 0.321, 0
0.324, 0.321 to 0.328, 0
0.331, 0.328 to 0.335, 0
0.338, 0.335 to 0.341, 1


Plate, 1
Well, 5
Count, 205
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.008, 0
0.013, 0.008 to 0.017, 0
0.021, 0.017 to 0.025, 0
0.029, 0.025 to 0.033, 0
0.038, 0.033 to 0.042, 0
0.046, 0.042 to 0.050, 0
0.054, 0.050 to 0.058, 0
0.063, 0.058 to 0.067, 0
0.071, 0.067 to 0.075, 0
0.079, 0.075 to 0.084, 0
0.088, 0.084 to 0.092, 0
0.096, 0.092 to 0.100, 0
0.104, 0.100 to 0.109, 3
0.113, 0.109 to 0.117, 12
0.121, 0.117 to 0.125, 15
0.129, 0.125 to 0.134, 21
0.138, 0.134 to 0.142, 16
0.146, 0.142 to 0.150, 16
0.154, 0.150 to 0.159, 22
0.163, 0.159 to 0.167, 14
0.171, 0.167 to 0.175, 15
0.180, 0.175 to 0.184, 12
0.188, 0.184 to 0.192, 14
0.196, 0.192 to 0.200, 8
0.205, 0.200 to 0.209, 5
0.213, 0.209 to 0.217, 7
0.221, 0.217 to 0.225, 2
0.230, 0.225 to 0.234, 3
0.238, 0.234 to 0.242, 2
0.246, 0.242 to 0.251, 4
0.255, 0.251 to 0.259, 3
0.263, 0.259 to 0.267, 1
0.271, 0.267 to 0.276, 1
0.280, 0.276 to 0.284, 1
0.288, 0.284 to 0.292, 2
0.296, 0.292 to 0.301, 0
0.305, 0.301 to 0.309, 0
0.313, 0.309 to 0.317, 0
0.321, 0.317 to 0.326, 1
0.330, 0.326 to 0.334, 0
0.338, 0.334 to 0.342, 2
0.347, 0.342 to 0.351, 1
0.355, 0.351 to 0.359, 0
0.363, 0.359 to 0.367, 1
0.372, 0.367 to 0.376, 0
0.380, 0.376 to 0.384, 0
0.388, 0.384 to 0.392, 0
0.397, 0.392 to 0.401, 0
0.405, 0.401 to 0.409, 0
0.413, 0.409 to 0.418, 1


Plate, 1
Well, 6
Count, 125
CHARM Settings 1:		PEO4_300.charm

Type 1 Histograms
Density (OD), Range, frequency
0.004, 0.000 to 0.007, 0
0.011, 0.007 to 0.015, 0
0.018, 0.015 to 0.022, 0
0.026, 0.022 to 0.030, 0
0.033, 0.030 to 0.037, 0
0.041, 0.037 to 0.044, 0
0.048, 0.044 to 0.052, 0
0.055, 0.052 to 0.059, 0
0.063, 0.059 to 0.067, 0
0.070, 0.067 to 0.074, 0
0.078, 0.074 to 0.081, 0
0.085, 0.081 to 0.089, 0
0.092, 0.089 to 0.096, 4
0.100, 0.096 to 0.104, 7
0.107, 0.104 to 0.111, 11
0.115, 0.111 to 0.118, 15
0.122, 0.118 to 0.126, 13
0.129, 0.126 to 0.133, 4
0.137, 0.133 to 0.141, 10
0.144, 0.141 to 0.148, 5
0.152, 0.148 to 0.155, 4
0.159, 0.155 to 0.163, 8
0.166, 0.163 to 0.170, 7
0.174, 0.170 to 0.178, 4
0.181, 0.178 to 0.185, 3
0.189, 0.185 to 0.192, 6
0.196, 0.192 to 0.200, 6
0.203, 0.200 to 0.207, 1
0.211, 0.207 to 0.215, 4
0.218, 0.215 to 0.222, 2
0.226, 0.222 to 0.229, 2
0.233, 0.229 to 0.237, 1
0.240, 0.237 to 0.244, 0
0.248, 0.244 to 0.252, 1
0.255, 0.252 to 0.259, 3
0.263, 0.259 to 0.266, 1
0.270, 0.266 to 0.274, 0
0.277, 0.274 to 0.281, 0
0.285, 0.281 to 0.289, 0
0.292, 0.289 to 0.296, 0
0.300, 0.296 to 0.303, 0
0.307, 0.303 to 0.311, 0
0.314, 0.311 to 0.318, 1
0.322, 0.318 to 0.326, 1
0.329, 0.326 to 0.333, 0
0.337, 0.333 to 0.340, 0
0.344, 0.340 to 0.348, 0
0.351, 0.348 to 0.355, 0
0.359, 0.355 to 0.363, 0
0.366, 0.363 to 0.370, 1




ADDITIONAL INFO
Read-date:	08-02-2020
Read-time:	22:10:39
Plate type:	6-Well
Resolution settings:	300 dpi
Mask Settings File:	Tao_PEO1.mask
Image file: C:\Users\Public\Documents\GelCount\Data\Data_08-02-20_21-58\Plate1_2\Plate1.ics


